pairName,currentValues,currentTime,localTime,secondaryData,hr1MainSumm,hr1FullSumm,hr1PivotPoints,hr1TechIndicators,hr1MovingAverages
eur_usd,1.1901 -0.0006    -0.05%,02:10:31,2021-06-18 06:11:08.915758,"Prev. Close: 1.1906
Bid/Ask: 1.1899 / 1.1902
Day's Range: 1.1896 - 1.1925",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (3)Sell (6)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.1877
1.1886
1.1896
1.1905
1.1914
1.1924
1.1933
Fibonacci
1.1886
1.1893
1.1898
1.1905
1.1912
1.1917
1.1924
Camarilla
1.1900
1.1902
1.1904
1.1905
1.1907
1.1909
1.1911
Woodie's
1.1877
1.1886
1.1896
1.1905
1.1914
1.1924
1.1933
DeMark's
-
-
1.1891
1.1903
1.1910
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
32.319
Sell
STOCH(9,6)
59.604
Buy
STOCHRSI(14)
51.866
Neutral
MACD(12,26)
-0.003
Sell
ADX(14)
22.296
Neutral
Williams %R
-74.578
Sell
CCI(14)
-130.6484
Sell
ATR(14)
0.0010
Less Volatility
Highs/Lows(14)
-0.0002
Sell
Ultimate Oscillator
51.951
Buy
ROC
0.059
Buy
Bull/Bear Power(13)
-0.0017
Sell
Buy: 3
Sell: 6
Neutral: 2


Summary:Strong Sell","Jun 18, 2021 06:09AM GMT"
gbp_usd,1.3893 -0.0027    -0.19%,02:10:31,2021-06-18 06:11:08.919805,"Prev. Close: 1.3919
Bid/Ask: 1.3892 / 1.3893
Day's Range: 1.3891 - 1.3945",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.3878
1.3887
1.3895
1.3904
1.3913
1.3921
1.3930
Fibonacci
1.3887
1.3893
1.3897
1.3904
1.3911
1.3915
1.3921
Camarilla
1.3898
1.3900
1.3901
1.3904
1.3905
1.3906
1.3908
Woodie's
1.3876
1.3886
1.3893
1.3903
1.3911
1.3920
1.3928
DeMark's
-
-
1.3890
1.3901
1.3908
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
31.981
Sell
STOCH(9,6)
47.643
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.002
Sell
ADX(14)
36.319
Sell
Williams %R
-100.000
Oversold
CCI(14)
-190.5325
Sell
ATR(14)
0.0014
Less Volatility
Highs/Lows(14)
-0.0022
Sell
Ultimate Oscillator
35.661
Sell
ROC
-0.007
Sell
Bull/Bear Power(13)
-0.0043
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell","Jun 18, 2021 06:09AM GMT"
usd_jpy,110.08 -0.12    -0.11%,02:10:33,2021-06-18 06:11:08.923457,"Prev. Close: 110.20
Bid/Ask: 110.06 / 110.09
Day's Range: 109.98 - 110.83",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (2)Sell (10)
Technical Indicators:Strong SellBuy (0)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
109.66
109.82
109.92
110.08
110.19
110.34
110.45
Fibonacci
109.82
109.92
109.98
110.08
110.18
110.24
110.34
Camarilla
109.97
110.00
110.02
110.08
110.07
110.09
110.12
Woodie's
109.64
109.81
109.90
110.07
110.17
110.33
110.43
DeMark's
-
-
109.88
110.06
110.14
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
35.471
Sell
STOCH(9,6)
49.306
Neutral
STOCHRSI(14)
12.151
Oversold
MACD(12,26)
-0.050
Sell
ADX(14)
30.786
Sell
Williams %R
-74.999
Sell
CCI(14)
-252.8901
Oversold
ATR(14)
0.0896
Less Volatility
Highs/Lows(14)
-0.1121
Sell
Ultimate Oscillator
41.690
Sell
ROC
-0.227
Sell
Bull/Bear Power(13)
-0.3440
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell","Jun 18, 2021 06:09AM GMT"
aud_usd,0.7534 -0.0016    -0.22%,02:10:31,2021-06-18 06:11:08.927110,"Prev. Close: 0.7550
Bid/Ask: 0.7533 / 0.7534
Day's Range: 0.7511 - 0.7562",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (9)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.7488
0.7499
0.7520
0.7532
0.7553
0.7565
0.7585
Fibonacci
0.7499
0.7512
0.7520
0.7532
0.7544
0.7552
0.7565
Camarilla
0.7532
0.7535
0.7538
0.7532
0.7543
0.7546
0.7549
Woodie's
0.7492
0.7501
0.7524
0.7534
0.7557
0.7567
0.7589
DeMark's
-
-
0.7526
0.7535
0.7558
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
29.265
Sell
STOCH(9,6)
66.832
Buy
STOCHRSI(14)
43.736
Sell
MACD(12,26)
-0.002
Sell
ADX(14)
41.717
Sell
Williams %R
-54.455
Neutral
CCI(14)
-177.5163
Sell
ATR(14)
0.0012
Less Volatility
Highs/Lows(14)
-0.0010
Sell
Ultimate Oscillator
44.196
Sell
ROC
-0.126
Sell
Bull/Bear Power(13)
-0.0027
Sell
Buy: 1
Sell: 9
Neutral: 1


Summary:Strong Sell","Jun 18, 2021 06:09AM GMT"
eur_gbp,0.8563 +0.0012    +0.14%,02:10:57,2021-06-18 06:11:08.930465,"Prev. Close: 0.8551
Bid/Ask: 0.8561 / 0.8565
Day's Range: 0.8542 - 0.8569",Buy,"Summary:Buy
Moving Averages:NeutralBuy (6)Sell (6)
Technical Indicators:Strong BuyBuy (8)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8547
0.8552
0.8557
0.8563
0.8568
0.8574
0.8579
Fibonacci
0.8552
0.8557
0.8559
0.8563
0.8567
0.8569
0.8574
Camarilla
0.8560
0.8561
0.8562
0.8563
0.8564
0.8565
0.8566
Woodie's
0.8547
0.8552
0.8557
0.8563
0.8568
0.8574
0.8579
DeMark's
-
-
0.8555
0.8562
0.8566
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
56.005
Buy
STOCH(9,6)
65.094
Buy
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
-0.000
Sell
ADX(14)
28.045
Buy
Williams %R
-7.548
Overbought
CCI(14)
134.5397
Buy
ATR(14)
0.0007
Less Volatility
Highs/Lows(14)
0.0009
Buy
Ultimate Oscillator
68.422
Buy
ROC
0.070
Buy
Bull/Bear Power(13)
0.0008
Buy
Buy: 8
Sell: 1
Neutral: 0


Summary:Strong Buy","Jun 18, 2021 06:09AM GMT"
usd_cad,1.2375 +0.0014    +0.11%,02:10:35,2021-06-18 06:11:08.933828,"Prev. Close: 1.2361
Bid/Ask: 1.2373 / 1.2377
Day's Range: 1.2336 - 1.2383",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2341
1.2351
1.2363
1.2373
1.2385
1.2395
1.2407
Fibonacci
1.2351
1.2359
1.2365
1.2373
1.2381
1.2387
1.2395
Camarilla
1.2369
1.2371
1.2373
1.2373
1.2378
1.2380
1.2382
Woodie's
1.2343
1.2352
1.2365
1.2374
1.2387
1.2396
1.2409
DeMark's
-
-
1.2368
1.2375
1.2390
-
-","Technical IndicatorsJun 18, 2021 06:10AM GMT
Name
Value
Action
RSI(14)
70.230
Buy
STOCH(9,6)
51.064
Neutral
STOCHRSI(14)
75.002
Overbought
MACD(12,26)
0.002
Buy
ADX(14)
36.918
Buy
Williams %R
-17.022
Overbought
CCI(14)
208.3831
Overbought
ATR(14)
0.0015
Less Volatility
Highs/Lows(14)
0.0014
Buy
Ultimate Oscillator
60.021
Buy
ROC
0.146
Buy
Bull/Bear Power(13)
0.0054
Buy
Buy: 7
Sell: 0
Neutral: 1


Summary:Strong Buy","Jun 18, 2021 06:10AM GMT"
usd_chf,0.9188 +0.0014    +0.16%,02:10:51,2021-06-18 06:11:08.937593,"Prev. Close: 0.9173
Bid/Ask: 0.9186 / 0.9189
Day's Range: 0.9168 - 0.9189",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (4)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.9159
0.9167
0.9173
0.9181
0.9187
0.9195
0.9201
Fibonacci
0.9167
0.9172
0.9176
0.9181
0.9186
0.9190
0.9195
Camarilla
0.9175
0.9176
0.9178
0.9181
0.9180
0.9182
0.9183
Woodie's
0.9159
0.9167
0.9173
0.9181
0.9187
0.9195
0.9201
DeMark's
-
-
0.9177
0.9183
0.9191
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
70.672
Buy
STOCH(9,6)
39.480
Sell
STOCHRSI(14)
41.870
Sell
MACD(12,26)
0.002
Buy
ADX(14)
27.538
Buy
Williams %R
-29.787
Buy
CCI(14)
143.0329
Buy
ATR(14)
0.0009
Less Volatility
Highs/Lows(14)
0.0001
Buy
Ultimate Oscillator
47.371
Sell
ROC
-0.054
Sell
Bull/Bear Power(13)
0.0024
Buy
Buy: 7
Sell: 4
Neutral: 0


Summary:Strong Buy","Jun 18, 2021 06:09AM GMT"
nzd_chf,0.6408 -0.0011    -0.18%,02:10:54,2021-06-18 06:11:08.941374,"Prev. Close: 0.6419
Bid/Ask: 0.6406 / 0.6409
Day's Range: 0.6396 - 0.6441",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.6374
0.6385
0.6397
0.6408
0.6420
0.6431
0.6443
Fibonacci
0.6385
0.6394
0.6399
0.6408
0.6417
0.6422
0.6431
Camarilla
0.6403
0.6405
0.6407
0.6408
0.6412
0.6414
0.6416
Woodie's
0.6376
0.6386
0.6399
0.6409
0.6422
0.6432
0.6445
DeMark's
-
-
0.6391
0.6405
0.6414
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
37.912
Sell
STOCH(9,6)
51.124
Neutral
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.000
Sell
ADX(14)
42.691
Sell
Williams %R
-74.157
Sell
CCI(14)
-225.1453
Oversold
ATR(14)
0.0010
Less Volatility
Highs/Lows(14)
-0.0013
Sell
Ultimate Oscillator
41.772
Sell
ROC
-0.296
Sell
Bull/Bear Power(13)
-0.0025
Sell
Buy: 0
Sell: 8
Neutral: 1


Summary:Strong Sell","Jun 18, 2021 06:09AM GMT"
usd_cny,6.4454 -0.0024    -0.04%,02:10:50,2021-06-18 06:11:08.944844,"Prev. Close: 6.4477
Bid/Ask: 6.4452 / 6.4455
Day's Range: 6.4435 - 6.4504",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (9)Sell (3)
Technical Indicators:Strong BuyBuy (8)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
6.4404
6.4432
6.4448
6.4476
6.4492
6.4520
6.4536
Fibonacci
6.4432
6.4449
6.4459
6.4476
6.4493
6.4503
6.4520
Camarilla
6.4451
6.4455
6.4459
6.4476
6.4468
6.4472
6.4476
Woodie's
6.4398
6.4429
6.4442
6.4473
6.4486
6.4517
6.4530
DeMark's
-
-
6.4440
6.4472
6.4484
-
-","Technical IndicatorsJun 18, 2021 06:07AM GMT
Name
Value
Action
RSI(14)
77.667
Overbought
STOCH(9,6)
73.163
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
0.009
Buy
ADX(14)
55.401
Buy
Williams %R
-19.872
Overbought
CCI(14)
67.4221
Buy
ATR(14)
0.0035
Less Volatility
Highs/Lows(14)
0.0019
Buy
Ultimate Oscillator
59.562
Buy
ROC
0.261
Buy
Bull/Bear Power(13)
0.0109
Buy
Buy: 8
Sell: 0
Neutral: 0


Summary:Strong Buy","Jun 18, 2021 06:07AM GMT"
usd_hkd,7.7642 -0.0002    -0.00%,02:10:53,2021-06-18 06:11:08.948250,"Prev. Close: 7.7644
Bid/Ask: 7.7640 / 7.7644
Day's Range: 7.7632 - 7.7652",Buy,"Summary:Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:BUYBuy (3)Sell (2)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
7.7632
7.7636
7.7638
7.7642
7.7645
7.7648
7.7651
Fibonacci
7.7636
7.7638
7.7640
7.7642
7.7644
7.7646
7.7648
Camarilla
7.7639
7.7639
7.7640
7.7642
7.7641
7.7642
7.7642
Woodie's
7.7632
7.7636
7.7638
7.7642
7.7645
7.7648
7.7651
DeMark's
-
-
7.7637
7.7641
7.7643
-
-","Technical IndicatorsJun 18, 2021 06:09AM GMT
Name
Value
Action
RSI(14)
50.061
Neutral
STOCH(9,6)
45.831
Neutral
STOCHRSI(14)
27.484
Sell
MACD(12,26)
0.000
Buy
ADX(14)
25.353
Neutral
Williams %R
-50.000
Neutral
CCI(14)
-68.9365
Sell
ATR(14)
0.0007
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
53.316
Buy
ROC
0.000
Neutral
Bull/Bear Power(13)
0.0002
Buy
Buy: 3
Sell: 2
Neutral: 6


Summary:BUY","Jun 18, 2021 06:09AM GMT"
